"Married","Dependents","Education","Self_Employed","ApplicantIncome","CoapplicantIncome","LoanAmount","Loan_Amount_Term","Credit_History","property_Area","Loan_Status"
0,"0",1,0,5849,0,117452,360,1,3,1
1,"0",1,1,3000,0,66000,360,1,3,1
1,"0",0,0,2583,2358,120000,360,1,3,1
0,"0",1,0,6000,0,141000,360,1,3,1
1,"2",1,1,5417,4196,267000,360,1,3,1
1,"0",0,0,2333,1516,95000,360,1,3,1
1,"0",1,0,5720,0,110000,360,1,3,1
1,"2",0,0,4006,1526,168000,360,1,3,1
1,"1",1,0,3076,1500,126000,360,1,3,1
1,"2",1,0,3200,700,70000,360,1,3,1
1,"2",1,0,2500,0,109000,360,1,3,1
1,"2",1,0,3073,8106,2e+05,360,1,3,1
1,"2",1,0,1299,1086,17000,120,1,3,1
1,"2",1,0,5000,1800,208000,360,1,3,1
0,"0",1,0,4995.70590859601,0,125000,360,1,3,1
0,"1",0,0,3596,0,1e+05,240,1,3,1
1,"2",1,0,2340,2546,1e+05,360,1,3,1
1,"0",1,0,2600,3500,115000,360,1,3,1
1,"1",1,0,5955,5625,315000,360,1,3,1
0,"0",0,0,3276,0,78000,360,1,3,1
1,"0",0,1,2165,3422,152000,360,1,3,1
0,"1",0,0,2226,0,59000,360,1,2,1
1,"2",1,0,13633,0,280000,240,1,3,1
1,"0",1,1,9560,0,191000,360,1,2,1
0,"0",0,0,2400,2400,123000,360,1,2,1
1,"0",1,0,2799,2253,122000,360,1,2,1
1,"2",0,0,4226,1040,110000,360,1,3,1
0,"0",0,0,3091,0,90000,360,1,3,1
1,"1",1,0,2185,1516,162000,360,1,2,1
0,"3",1,0,4166,0,40000,180,1,3,1
0,"2",1,0,3750,2083,120000,360,1,2,1
0,"0",1,0,4666,0,124000,360,1,2,1
1,"0",1,0,3500,1667,114000,360,1,2,1
0,"1",1,0,5667,0,131000,360,1,3,1
1,"2",1,0,4583,2916,2e+05,360,1,3,1
1,"0",1,0,2275,2067,120685,360,1,3,1
1,"3",1,0,3786,333,126000,360,1,2,1
1,"0",1,0,9226,7916,3e+05,360,1,3,1
1,"0",1,0,3667,1459,144000,360,1,2,1
0,"0",1,0,4166,7210,184000,360,1,3,1
0,"0",1,0,1300,3470,1e+05,180,1,2,1
0,"0",0,0,3748,1668,110000,360,1,2,1
0,"0",1,0,1800,1213,47000,360,1,3,1
1,"1",0,0,1888,1620,48000,360,1,3,1
1,"0",1,0,2400,0,75000,360,1,3,1
0,"3",0,0,2083,0,28000,180,1,3,1
0,"0",1,0,3909,0,101000,360,1,3,1
1,"0",1,0,3941,2336,134000,360,1,2,1
0,"0",0,0,3765,0,125000,360,1,3,1
1,"0",0,1,4695,0,96000,360,1,3,1
0,"0",1,0,3410,0,88000,360,1,3,1
1,"1",1,0,5649,0,44000,360,1,3,1
1,"0",1,0,5821,0,144000,360,1,3,1
1,"0",1,0,5400,4380,290000,360,1,3,1
0,"0",1,0,4000,2275,144000,360,1,2,1
1,"0",0,0,1928,1644,1e+05,360,1,2,1
0,"0",1,0,3086,0,120000,360,1,2,1
1,"2",1,0,4363,1250,140000,360,1,3,1
1,"0",1,0,7500,3750,275000,360,1,3,1
1,"0",1,0,3772,833,57000,360,1,2,1
0,"0",1,0,2942,2382,125000,180,1,3,1
0,"0",0,0,2478,0,75000,360,1,2,1
1,"2",1,0,6250,820,192000,360,1,3,1
0,"0",1,0,3268,1683,152000,360,1,2,1
1,"0",1,0,2783,2708,158000,360,1,3,1
1,"0",1,0,2740,1541,101000,360,1,3,1
1,"2",1,0,2708,1167,97000,360,1,2,1
1,"0",1,0,2132,1591,96000,360,1,2,1
1,"1",1,0,8080,2250,180000,360,1,3,1
1,"2",0,0,3357,2859,144000,360,1,3,1
1,"0",1,0,2500,3796,120000,360,1,3,1
1,"3",1,0,3029,0,99000,360,1,3,1
1,"2",1,0,7350,4029,185000,180,1,3,1
1,"0",1,1,2267,2792,90000,360,1,3,1
0,"0",1,1,5833,0,116000,360,1,3,1
0,"0",1,0,3643,1963,138000,360,1,3,1
1,"0",1,0,5629,818,1e+05,360,1,3,1
0,"0",1,0,3644,0,110000,360,1,3,1
1,"0",0,0,1750,2024,90000,360,1,2,1
0,"0",1,0,6500,2600,2e+05,360,1,2,1
0,"0",1,0,3666,0,84000,360,1,3,1
1,"0",1,0,4260,3900,185000,360,1,3,1
1,"1",1,0,10750,0,312000,360,1,3,1
1,"0",0,0,4163,1475,162000,360,1,3,1
1,"3",0,1,7100,0,125000,60,1,3,1
0,"0",0,0,2356,1902,108000,360,1,2,1
1,"0",1,0,3208,3066,172000,360,1,3,1
1,"2",0,1,1875,1875,97000,360,1,2,1
0,"0",1,0,3500,0,81000,300,1,2,1
1,"3",1,1,5266,1774,187000,360,1,2,1
1,"3",0,1,3333,2166,130000,360,1,2,1
0,"0",1,0,3846,0,111000,360,1,2,1
1,"1",1,1,2395,0,127557,360,1,2,1
0,"0",1,0,6792,3338,187000,360,1,3,1
1,"3",0,1,8000,250,187000,360,1,2,1
1,"1",1,0,3988,0,50000,240,1,3,1
0,"0",1,0,2366,2531,136000,360,1,2,1
1,"2",0,0,3333,2000,99000,360,1,2,1
1,"0",1,0,2500,2118,104000,360,1,2,1
1,"1",1,0,2419,1707,124000,360,1,3,1
1,"3",0,0,3500,833,120000,360,1,2,1
0,"0",1,0,8566,0,210000,360,1,3,1
1,"1",1,0,3500,3077,160000,360,1,2,1
1,"2",1,0,4116,1000,30000,180,1,3,1
1,"0",1,0,5695,4167,175000,360,1,2,1
1,"0",0,1,5293,0,92000,360,1,3,1
1,"0",1,0,2958,2900,131000,360,1,2,1
0,"0",0,0,4402,0,130000,360,1,1,1
1,"2",1,0,6250,5654,188000,180,1,2,1
1,"2",0,0,3273,1820,81000,360,1,3,1
1,"2",1,0,3613,3539,134000,180,1,2,1
0,"0",1,0,4133,0,122000,360,1,2,1
1,"3",1,0,4720,0,90000,180,1,2,1
0,"0",0,0,3620,0,25000,120,1,2,1
1,"0",1,0,2484,2302,137000,360,1,2,1
1,"0",0,0,2415,1721,110000,360,1,2,1
1,"0",1,0,1977,997,50000,360,1,2,1
1,"0",0,0,4188,0,115000,180,1,2,1
1,"0",1,1,7016,292,125000,360,1,3,1
0,"2",1,0,4968,0,189000,360,1,2,1
1,"0",1,0,1759,3541,131000,360,1,2,1
1,"2",0,0,4288,3263,133000,180,1,3,1
1,"3",0,0,4490,0,125000,360,1,3,1
0,"0",1,0,4843,3806,151000,360,1,2,1
1,"2",1,0,13650,0,198787,360,1,3,1
1,"0",1,0,2917,3583,138000,360,1,2,1
1,"0",1,0,4652,3583,153655,360,1,2,1
0,"0",1,0,3816,754,160000,360,1,3,1
1,"0",1,0,7666,0,187000,360,1,2,1
0,"0",1,0,3250,0,95000,360,1,2,1
1,"1",1,0,3052,1030,1e+05,360,1,3,1
0,"0",1,0,4463,0,65000,360,1,2,1
1,"2",1,0,11417,1126,225000,360,1,3,1
1,"1",1,0,4083,1775,139000,60,1,3,1
1,"0",1,1,3900,2094,232000,360,1,1,1
1,"3",0,0,2071,754,94000,480,1,2,1
0,"0",1,0,5316,0,136000,360,1,3,1
1,"0",0,0,4750,3583,144000,360,1,2,1
1,"0",1,0,2929,2333,139000,360,1,2,1
0,"1",1,1,7451,0,147159,360,1,2,1
0,"0",1,0,5050,0,118000,360,1,2,1
0,"0",1,0,3583,3435,155000,360,1,3,1
1,"1",1,0,14583,0,185000,180,1,1,1
1,"0",1,0,3167,2283,154000,360,1,2,1
1,"1",1,0,2214,1398,85000,360,1,3,1
1,"0",1,0,3189,2367,186000,360,1,3,1
0,"0",1,1,6356,0,50000,360,1,1,1
1,"1",1,0,3413,4053,152823,360,1,2,1
1,"0",1,0,7950,0,185000,360,1,3,1
0,"0",1,0,10408,0,259000,360,1,3,1
1,"2",1,0,5667,2667,180000,360,1,1,1
1,"3",1,0,72529,0,360000,360,1,3,1
0,"0",1,0,4166,0,44000,360,1,2,1
0,"0",1,0,2137,8980,137000,360,0,2,1
1,"2",1,0,2957,0,81000,360,1,2,1
1,"0",0,0,4300,2014,194000,360,1,1,1
0,"0",1,0,3692,0,93000,360,1,1,1
1,"0",1,0,8449,0,257000,360,1,1,1
1,"3",1,0,23803,0,370000,360,1,1,1
0,"0",1,0,3865,1640,120707,360,1,1,1
1,"2",1,0,4635,8000,102000,180,1,1,1
1,"0",1,0,3571,1917,135000,360,1,3,1
0,"0",1,0,3066,0,95000,360,1,2,1
0,"0",1,1,20166,0,650000,480,1,3,1
0,"2",0,0,3235,2015,77000,360,1,2,1
0,"0",1,0,5058,0,2e+05,360,1,1,1
0,"0",1,0,2014,1929,74000,360,1,3,1
1,"0",1,1,3188,2286,130000,360,1,1,1
0,"0",1,0,2718,0,70000,360,1,2,1
1,"0",1,1,3459,0,25000,120,1,2,1
1,"3",1,0,13518,0,390000,360,1,1,1
1,"1",1,0,4364,2500,185000,360,1,2,1
0,"0",1,0,4895,0,102000,360,1,2,1
1,"2",0,0,4766,1646,1e+05,360,1,2,1
1,"2",1,1,3316,3500,88000,360,1,3,1
0,"0",1,0,5417,0,168000,360,1,3,1
1,"3",1,0,6260,0,110000,360,1,2,1
1,"1",1,0,3333,4200,256000,360,1,3,1
1,"0",1,0,3500,3250,140000,360,1,2,1
0,"0",1,1,6950,0,175000,180,1,2,1
1,"0",1,0,2698,2034,122000,360,1,2,1
1,"2",1,0,11757,0,187000,180,1,3,1
1,"0",1,0,2330,4486,1e+05,360,1,2,1
1,"2",1,0,14866,0,70000,360,1,3,1
1,"3",1,0,9719,0,61000,360,1,3,1
1,"1",1,0,1538,1425,30000,360,1,3,1
1,"0",1,0,4860,830,125000,360,1,2,1
1,"3",1,0,6835,0,188000,360,1,2,1
1,"0",1,1,2577,3750,152000,360,1,1,1
0,"0",1,0,4452,0,131000,360,1,1,1
0,"0",1,0,3254,0,50000,360,1,3,1
1,"3",1,0,39999,0,6e+05,180,0,2,1
1,"1",1,0,6000,0,160000,360,1,1,1
1,"1",1,0,9538,0,187000,360,1,3,1
0,"0",1,0,2980,2083,120000,360,1,1,1
1,"1",1,0,3901,0,116000,360,1,3,1
1,"2",0,0,2687,0,50000,180,1,1,1
1,"0",1,0,4583,5625,255000,360,1,2,1
0,"0",1,0,2243,2233,107000,360,1,2,1
1,"0",0,0,1863,1041,98000,360,1,2,1
1,"0",1,0,3417,1287,2e+05,360,1,2,1
1,"3",1,0,4513,0,120000,360,1,1,1
1,"0",1,0,4500,0,140000,360,1,2,1
1,"2",1,0,4167,1447,158000,360,1,1,1
1,"0",1,0,9323,0,75000,180,1,3,1
1,"0",0,0,4523,1350,165000,360,1,3,1
1,"0",1,0,3707,3166,182000,360,1,1,1
1,"0",1,0,2439,3333,129000,360,1,1,1
1,"2",1,0,8000,0,2e+05,360,1,2,1
1,"0",0,0,1820,1769,95000,360,1,1,1
0,"0",1,1,4742,0,108000,360,1,2,1
1,"3",1,0,51763,0,7e+05,300,1,3,1
1,"2",1,0,4082,0,93000,360,1,2,1
0,"0",1,0,3417,0,102000,360,1,3,1
1,"2",1,0,2922,3396,122000,360,1,2,1
1,"0",1,0,5708,5625,187000,360,1,2,1
1,"0",1,0,4167,4754,160000,360,1,1,1
0,"3",1,0,4243,4123,157000,360,1,2,1
1,"0",1,0,3497,1964,116000,360,1,1,1
0,"0",0,0,0,1760,180000,360,1,2,1
1,"2",1,0,2045,1619,101000,360,1,1,1
1,"1",1,0,3750,0,116000,360,1,2,1
0,"0",1,0,3125,0,65000,360,1,3,1
1,"0",1,0,4600,0,73000,180,1,2,1
1,"0",1,0,3625,0,108000,360,1,2,1
1,"0",1,1,39147,4750,120000,360,1,2,1
1,"0",1,0,2383,2138,58000,360,1,1,1
